plot,treeposition,spp,inventary_date,inventary_month,status,cap1_cm,cap2_cm,cap3_cm,cap4_cm,cap5_cm,soma_cap,dap1_cm,dap2_cm,dap3_cm,dap4_cm,dap5_cm,htotal_m,HCOPA,NS,LO,OBS
1,1,Dalbergia nigra,jun/18,83 meses,A,,,,,,,,,,,,5,1.8,3,3,
1,2,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,3,Caesalpinia echinata,jun/18,83 meses,B,,,,,,,,,,,,0.6,0.1,0.3,0.3,
1,4,Cordia superba,jun/18,83 meses,A,15.5,,,,,15.5,4.93,,,,,3.5,3.3,1,1,
1,5,Paratecoma peroba,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,6,Cecropia hololeuca,jun/18,83 meses,A,41,,,,,41,13.05,,,,,10.5,9,9,9,
1,7,Hymenaea courbaril,jun/18,83 meses,A,15.5,,,,,15.5,4.93,,,,,4,2.5,3,3.5,
1,8,Talisia coriacea,jun/18,83 meses,A,,,,,,,,,,,,1,0.2,1,0.5,
1,9,Dalbergia nigra,jun/18,83 meses,A,18,,,,,18,5.73,,,,,6,1.5,4,3.5,
1,10,Byrsonima sericea,jun/18,83 meses,A,,,,,,,,,,,,4.2,1.5,3,3,
1,11,Anadenanthera peregrina,jun/18,83 meses,A,,,,,,,,,,,,2.2,2,1,1,
1,12,Cariniana estrelensis,jun/18,83 meses,A,27.5,,,,,27.5,8.75,,,,,6.5,2,5,5,
1,13,Parkia pendula,jun/18,83 meses,A,38.5,,,,,38.5,12.25,,,,,8,3,8,7,
1,14,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,4,3.5,2.5,6,
1,15,Peltophorum dubium,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,16,Enterolobium contortisiliquum,jun/18,83 meses,A,31,21.5,,,,52.5,9.87,6.84,,,,8.5,8,6.5,5.5,
1,17,Cariniana legalis,jun/18,83 meses,A,17,,,,,17,5.41,,,,,7,1,5,5,
1,18,Mimosa artemisiana,jun/18,83 meses,A,18.5,24,,,,42.5,5.89,7.64,,,,8.5,7,6.5,9,
1,19,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,3.2,0.6,3.5,3,
1,20,Centrolobium microchaete,jun/18,83 meses,A,22.5,,,,,22.5,7.16,,,,,9,8,5,5,
1,21,Eucalyptus spp.,jun/18,83 meses,A,74,,,,,74,23.55,,,,,23,20,4.5,4.5,
1,22,Eucalyptus spp.,jun/18,83 meses,A,69.5,,,,,69.5,22.12,,,,,23,21,5.5,6,
1,23,Eucalyptus spp.,jun/18,83 meses,A,68,,,,,68,21.65,,,,,22.5,19.5,4,6.5,
1,24,Eucalyptus spp.,jun/18,83 meses,B,47,,,,,47,14.96,,,,,14,11,1.5,3,
1,25,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,26,Eucalyptus spp.,jun/18,83 meses,A,83.5,,,,,83.5,26.58,,,,,22,20,6,6,
1,27,Eucalyptus spp.,jun/18,83 meses,A,80.5,,,,,8.5,25.62,,,,,23,18,4,4,
1,28,Eucalyptus spp.,jun/18,83 meses,A,79,,,,,79,25.15,,,,,22.5,18,3,3,
1,29,Eucalyptus spp.,jun/18,83 meses,A,81.5,,,,,81.5,25.94,,,,,23,18,4,4,
1,30,Eucalyptus spp.,jun/18,83 meses,A,80.5,,,,,8.5,25.62,,,,,21.5,17,4,4,
1,31,Eucalyptus spp.,jun/18,83 meses,A,56,,,,,56,17.83,,,,,19,18,2,2,
1,32,Eucalyptus spp.,jun/18,83 meses,A,58,,,,,58,18.46,,,,,21,20,2.5,2.5,
1,33,Eucalyptus spp.,jun/18,83 meses,A,53,,,,,53,16.87,,,,,19,18,2,2,
1,34,Eucalyptus spp.,jun/18,83 meses,A,62,,,,,62,19.74,,,,,21,20,2.5,2.5,
1,35,Eucalyptus spp.,jun/18,83 meses,A,63,,,,,63,20.05,,,,,19,17,5,4.5,
1,36,Eucalyptus spp.,jun/18,83 meses,A,42,,,,,42,13.37,,,,,16,13,2.5,3,
1,37,Eucalyptus spp.,jun/18,83 meses,A,46.5,,,,,46.5,14.8,,,,,15.5,13,3.5,3.5,
1,38,Eucalyptus spp.,jun/18,83 meses,A,48,,,,,48,15.28,,,,,16,13,4,3,
1,39,Eucalyptus spp.,jun/18,83 meses,A,50,,,,,5,15.92,,,,,16,13,4,4,
1,40,Eucalyptus spp.,jun/18,83 meses,A,55.5,,,,,55.5,17.67,,,,,16,13,4,4,
1,41,Byrsonima sericea,jun/18,83 meses,A,,,,,,,,,,,,2.5,1,2,2,
1,42,Caesalpinia echinata,jun/18,83 meses,B,,,,,,,,,,,,0.7,0.3,0.5,0.5,
1,43,Talisia coriacea,jun/18,83 meses,B,,,,,,,,,,,,1.5,1,0.5,0.5,
1,44,Handroanthus impetiginosus,jun/18,83 meses,A,15,,,,,15,4.77,,,,,4,3.5,3.5,3.5,
1,45,Cecropia hololeuca,jun/18,83 meses,A,33,,,,,33,10.5,,,,,11,10,8,6,
1,46,Myrocarpus frondosus,jun/18,83 meses,A,,,,,,,,,,,,1.8,0.3,1,1,
1,47,Cordia superba,jun/18,83 meses,A,,,,,,,,,,,,2.5,2.3,1.5,1.5,
1,48,Dalbergia nigra,jun/18,83 meses,A,,,,,,,,,,,,3,1,2,2,
1,49,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,50,Caesalpinia echinata,jun/18,83 meses,A,17,,,,,17,5.41,,,,,6,4,5.5,5.5,
1,51,Anadenanthera peregrina,jun/18,83 meses,A,24,,,,,24,7.64,,,,,6,4,4.5,3.5,
1,52,Cariniana estrelensis,jun/18,83 meses,A,25.5,,,,,25.5,8.12,,,,,4,3,3.5,3,
1,53,Parkia pendula,jun/18,83 meses,A,,,,,,,,,,,,3.2,2,3,2.5,
1,54,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,3,2,5,4,
1,55,Peltophorum dubium,jun/18,83 meses,B,,,,,,,,,,,,2.7,2.5,1,1,
1,56,Enterolobium contortisiliquum,jun/18,83 meses,A,27.5,,,,,27.5,8.75,,,,,4.5,4.2,5.5,5,
1,57,Cariniana estrelensis,jun/18,83 meses,B,,,,,,,,,,,,2.5,2.2,1,1,
1,58,Mimosa artemisiana,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,59,Lecythis pisonis,jun/18,83 meses,A,15.5,,,,,15.5,4.93,,,,,4.5,1,4,3.5,
1,60,Centrolobium microchaete,jun/18,83 meses,A,16,,,,,16,5.09,,,,,6,5.5,1,1,
1,61,Eucalyptus spp.,jun/18,83 meses,A,54,,,,,54,17.19,,,,,17,16,1.5,1.5,
1,62,Eucalyptus spp.,jun/18,83 meses,A,63.5,,,,,63.5,20.21,,,,,20,18,2,2,
1,63,Eucalyptus spp.,jun/18,83 meses,A,76.5,,,,,76.5,24.35,,,,,24,21,5,7,
1,64,Eucalyptus spp.,jun/18,83 meses,A,50,,,,,5,15.92,,,,,15,14,1.5,1.5,
1,65,Eucalyptus spp.,jun/18,83 meses,A,47,,,,,47,14.96,,,,,15.5,14,1,1,
1,66,Eucalyptus spp.,jun/18,83 meses,A,90.5,,,,,9.5,28.81,,,,,23,20,6,5,
1,67,Eucalyptus spp.,jun/18,83 meses,A,87,,,,,87,27.69,,,,,21.5,19,4.5,4.5,
1,68,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,69,Eucalyptus spp.,jun/18,83 meses,A,72,,,,,72,22.92,,,,,20.5,18,4,4,
1,70,Eucalyptus spp.,jun/18,83 meses,A,86,,,,,86,27.37,,,,,21.5,19,3.5,3.5,
1,71,Eucalyptus spp.,jun/18,83 meses,A,70,,,,,7,22.28,,,,,20,19,2.5,2.5,
1,72,Eucalyptus spp.,jun/18,83 meses,A,55,,,,,55,17.51,,,,,18,16,2,2,
1,73,Eucalyptus spp.,jun/18,83 meses,A,57,,,,,57,18.14,,,,,21,19,2.5,2.5,
1,74,Eucalyptus spp.,jun/18,83 meses,A,56,,,,,56,17.83,,,,,18,17,2,2,
1,75,Eucalyptus spp.,jun/18,83 meses,A,64.5,,,,,64.5,20.53,,,,,20,17.5,6.5,4.5,
1,76,Eucalyptus spp.,jun/18,83 meses,A,46.5,,,,,46.5,14.8,,,,,18,15,3,3,
1,77,Eucalyptus spp.,jun/18,83 meses,A,61,,,,,61,19.42,,,,,21,17,5.5,6.5,
1,78,Eucalyptus spp.,jun/18,83 meses,A,46.5,,,,,46.5,14.8,,,,,17,13,2.5,3,
1,79,Eucalyptus spp.,jun/18,83 meses,A,46,,,,,46,14.64,,,,,19,17,4.5,3.5,
1,80,Eucalyptus spp.,jun/18,83 meses,A,60.5,,,,,6.5,19.26,,,,,22,20,5,4,
1,81,Dalbergia nigra,jun/18,83 meses,A,25.5,,,,,25.5,8.12,,,,,10,7,5,5,
1,82,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,83,Caesalpinia echinata,jun/18,83 meses,A,15,,,,,15,4.77,,,,,3.5,2,4.5,4.5,
1,84,Cordia superba,jun/18,83 meses,A,25,,,,,25,7.96,,,,,5,2.5,4,5.5,
1,85,Paratecoma peroba,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,86,Cecropia hololeuca,jun/18,83 meses,A,26,,,,,26,8.28,,,,,9.5,6,4,4,
1,87,Hymenaea courbaril,jun/18,83 meses,A,16,,,,,16,5.09,,,,,4,2,3,3.5,
1,88,Talisia coriacea,jun/18,83 meses,A,,,,,,,,,,,,3.2,0.5,2.5,2.5,
1,89,Dalbergia nigra,jun/18,83 meses,A,26.5,,,,,26.5,8.44,,,,,10,5,5.5,6,
1,90,Byrsonima sericea,jun/18,83 meses,A,23,,,,,23,7.32,,,,,5,1,4.5,4.5,
1,91,Anadenanthera peregrina,jun/18,83 meses,A,18,,,,,18,5.73,,,,,7,5.5,5.5,4,
1,92,Cariniana estrelensis,jun/18,83 meses,A,22,,,,,22,7,,,,,3.5,2,3.5,4,
1,93,Parkia pendula,jun/18,83 meses,B,,,,,,,,,,,,1.3,1.1,0.5,0.5,
1,94,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,2.5,0.5,2.5,1.5,
1,95,Peltophorum dubium,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,96,Enterolobium contortisiliquum,jun/18,83 meses,A,37,,,,,37,11.78,,,,,10.5,9,6.5,3,
1,97,Cariniana estrelensis,jun/18,83 meses,A,,,,,,,,,,,,2,0.5,1.5,1,
1,98,Mimosa artemisiana,jun/18,83 meses,A,24.5,,,,,24.5,7.8,,,,,8.5,7,4.5,5,
1,99,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,2.8,1,2,2,
1,100,Centrolobium microchaete,jun/18,83 meses,A,19.5,,,,,19.5,6.21,,,,,8.5,7,4,4.5,
1,101,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,102,Eucalyptus spp.,jun/18,83 meses,A,46.5,,,,,46.5,14.8,,,,,16,15,2,2,
1,103,Eucalyptus spp.,jun/18,83 meses,A,54.5,,,,,54.5,17.35,,,,,16.5,15.5,1,1,
1,104,Eucalyptus spp.,jun/18,83 meses,A,84,,,,,84,26.74,,,,,23,16,5,5.5,
1,105,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,106,Eucalyptus spp.,jun/18,83 meses,A,88,,,,,88,28.01,,,,,23.5,21,5.5,5,
1,107,Eucalyptus spp.,jun/18,83 meses,A,77,,,,,77,24.51,,,,,22,19,3.5,3.5,
1,108,Eucalyptus spp.,jun/18,83 meses,A,69,,,,,69,21.96,,,,,20,18,3.5,3.5,
1,109,Eucalyptus spp.,jun/18,83 meses,A,61.5,,,,,61.5,19.58,,,,,18,14,4,4,
1,110,Eucalyptus spp.,jun/18,83 meses,A,82,,,,,82,26.1,,,,,23,21,4,4,
1,111,Eucalyptus spp.,jun/18,83 meses,A,65,,,,,65,20.69,,,,,20,18,3,3,
1,112,Eucalyptus spp.,jun/18,83 meses,A,66,,,,,66,21.01,,,,,21,19,3,3,
1,113,Eucalyptus spp.,jun/18,83 meses,A,62.5,,,,,62.5,19.89,,,,,22,20,3,3,
1,114,Eucalyptus spp.,jun/18,83 meses,A,73,,,,,73,23.24,,,,,20,17,3,4,
1,115,Eucalyptus spp.,jun/18,83 meses,A,72,,,,,72,22.92,,,,,20,17.5,4.5,5.5,
1,116,Eucalyptus spp.,jun/18,83 meses,A,41,,,,,41,13.05,,,,,16,13,2.5,5,
1,117,Eucalyptus spp.,jun/18,83 meses,A,46.5,,,,,46.5,14.8,,,,,17,15,3,3,
1,118,Eucalyptus spp.,jun/18,83 meses,A,47,,,,,47,14.96,,,,,16,14,4,5.5,
1,119,Eucalyptus spp.,jun/18,83 meses,A,52,,,,,52,16.55,,,,,17.5,15,3.5,4,
1,120,Eucalyptus spp.,jun/18,83 meses,A,51.5,,,,,51.5,16.39,,,,,17,15,4,4.5,
1,121,Byrsonima sericea,jun/18,83 meses,A,,,,,,,,,,,,3.5,1.5,3,3,
1,122,Caesalpinia echinata,jun/18,83 meses,B,,,,,,,,,,,,0.5,0.2,0.2,0.2,
1,123,Talisia coriacea,jun/18,83 meses,B,,,,,,,,,,,,1.3,0.5,0.5,1,
1,124,Handroanthus impetiginosus,jun/18,83 meses,A,,,,,,,,,,,,3.5,3,1,1,
1,125,Cecropia hololeuca,jun/18,83 meses,A,37,,,,,37,11.78,,,,,10.5,6,8.5,7.5,
1,126,Myrocarpus frondosus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,127,Cordia superba,jun/18,83 meses,A,37.5,,,,,37.5,11.94,,,,,6.5,5,6,6,
1,128,Dalbergia nigra,jun/18,83 meses,A,25,,,,,25,7.96,,,,,8.5,3,6,7.5,
1,129,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,130,Caesalpinia echinata,jun/18,83 meses,A,,,,,,,,,,,,2.8,0.5,2.5,3,
2,1,Dalbergia nigra,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,2,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,3,Caesalpinia echinata,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,4,Cordia superba,jun/18,83 meses,A,20.5,,,,,2.5,6.53,,,,,,,,,
2,5,Paratecoma peroba,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,6,Cecropia hololeuca,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,7,Hymenaea courbaril,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,8,Talisia coriacea,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,9,Dalbergia nigra,jun/18,83 meses,A,17,,,,,17,5.41,,,,,,,,,
2,10,Byrsonima sericea,jun/18,83 meses,A,30,,,,,3,9.55,,,,,,,,,
2,11,Caesalpinia echinata,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,12,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,13,Dalbergia nigra,jun/18,83 meses,A,19.5,,,,,19.5,6.21,,,,,,,,,
2,14,Cordia superba,jun/18,83 meses,A,32.5,,,,,32.5,10.35,,,,,,,,,
2,15,Myrocarpus frondosus,jun/18,83 meses,B,,,,,,,,,,,,,,,,
2,16,Cecropia hololeuca,jun/18,83 meses,A,21,,,,,21,6.68,,,,,,,,,
2,17,Handroanthus impetiginosus,jun/18,83 meses,B,,,,,,,,,,,,,,,,
2,18,Talisia coriacea,jun/18,83 meses,B,,,,,,,,,,,,,,,,
2,19,Caesalpinia echinata,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,20,Byrsonima sericea,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,21,Eucalyptus spp.,jun/18,83 meses,A,83.5,,,,,83.5,26.58,,,,,,,,,
2,22,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,23,Eucalyptus spp.,jun/18,83 meses,A,47.5,,,,,47.5,15.12,,,,,,,,,
2,24,Eucalyptus spp.,jun/18,83 meses,A,44,,,,,44,14.01,,,,,,,,,
2,25,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,26,Eucalyptus spp.,jun/18,83 meses,A,93,,,,,93,29.6,,,,,,,,,
2,27,Eucalyptus spp.,jun/18,83 meses,A,79,,,,,79,25.15,,,,,,,,,
2,28,Eucalyptus spp.,jun/18,83 meses,A,86.5,,,,,86.5,27.53,,,,,,,,,
2,29,Eucalyptus spp.,jun/18,83 meses,A,87,,,,,87,27.69,,,,,,,,,
2,30,Eucalyptus spp.,jun/18,83 meses,A,61.5,,,,,61.5,19.58,,,,,,,,,
2,31,Eucalyptus spp.,jun/18,83 meses,A,70,,,,,7,22.28,,,,,,,,,
2,32,Eucalyptus spp.,jun/18,83 meses,A,61.5,,,,,61.5,19.58,,,,,,,,,
2,33,Eucalyptus spp.,jun/18,83 meses,A,62.5,,,,,62.5,19.89,,,,,,,,,
2,34,Eucalyptus spp.,jun/18,83 meses,A,63,,,,,63,20.05,,,,,,,,,
2,35,Eucalyptus spp.,jun/18,83 meses,A,68,,,,,68,21.65,,,,,,,,,
2,36,Eucalyptus spp.,jun/18,83 meses,A,39,,,,,39,12.41,,,,,,,,,
2,37,Eucalyptus spp.,jun/18,83 meses,A,59,,,,,59,18.78,,,,,,,,,
2,38,Eucalyptus spp.,jun/18,83 meses,A,34,,,,,34,10.82,,,,,,,,,
2,39,Eucalyptus spp.,jun/18,83 meses,A,35.5,,,,,35.5,11.3,,,,,,,,,
2,40,Eucalyptus spp.,jun/18,83 meses,A,47.5,,,,,47.5,15.12,,,,,,,,,
2,41,Centrolobium microchaete,jun/18,83 meses,A,21,,,,,21,6.68,,,,,,,,,
2,42,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,43,Mimosa artemisiana,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,44,Cariniana legalis,jun/18,83 meses,A,18.5,,,,,18.5,5.89,,,,,,,,,
2,45,Enterolobium contortisiliquum,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,46,Peltophorum dubium,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,47,Pterocarpus rohrii,jun/18,83 meses,B,,,,,,,,,,,,,,,,
2,48,Parkia pendula,jun/18,83 meses,A,28.5,,,,,28.5,9.07,,,,,,,,,
2,49,Cariniana estrelensis,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,50,Anadenanthera peregrina,jun/18,83 meses,B,,,,,,,,,,,,,,,,
2,51,Anadenanthera peregrina,jun/18,83 meses,A,17,,,,,17,5.41,,,,,,,,,
2,52,Cariniana estrelensis,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,53,Parkia pendula,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,54,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,55,Peltophorum dubium,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,56,Enterolobium contortisiliquum,jun/18,83 meses,A,18.5,32,,,,5.5,5.89,10.19,,,,,,,,
2,57,Cariniana legalis,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,58,Mimosa artemisiana,jun/18,83 meses,A,16,,,,,16,5.09,,,,,,,,,
2,59,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,60,Centrolobium microchaete,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,61,Eucalyptus spp.,jun/18,83 meses,A,64.5,,,,,64.5,20.53,,,,,,,,,
2,62,Eucalyptus spp.,jun/18,83 meses,A,62,,,,,62,19.74,,,,,,,,,
2,63,Eucalyptus spp.,jun/18,83 meses,A,46,,,,,46,14.64,,,,,,,,,
2,64,Eucalyptus spp.,jun/18,83 meses,A,78,,,,,78,24.83,,,,,,,,,
2,65,Eucalyptus spp.,jun/18,83 meses,A,50,,,,,5,15.92,,,,,,,,,
2,66,Eucalyptus spp.,jun/18,83 meses,A,90.5,,,,,9.5,28.81,,,,,,,,,
2,67,Eucalyptus spp.,jun/18,83 meses,A,80,,,,,8,25.46,,,,,,,,,
2,68,Eucalyptus spp.,jun/18,83 meses,A,80,,,,,8,25.46,,,,,,,,,
2,69,Eucalyptus spp.,jun/18,83 meses,A,88,,,,,88,28.01,,,,,,,,,
2,70,Eucalyptus spp.,jun/18,83 meses,A,73,,,,,73,23.24,,,,,,,,,
2,71,Eucalyptus spp.,jun/18,83 meses,A,65,,,,,65,20.69,,,,,,,,,
2,72,Eucalyptus spp.,jun/18,83 meses,A,68,,,,,68,21.65,,,,,,,,,
2,73,Eucalyptus spp.,jun/18,83 meses,A,59,,,,,59,18.78,,,,,,,,,
2,74,Eucalyptus spp.,jun/18,83 meses,A,58,,,,,58,18.46,,,,,,,,,
2,75,Eucalyptus spp.,jun/18,83 meses,A,68,,,,,68,21.65,,,,,,,,,
2,76,Eucalyptus spp.,jun/18,83 meses,A,51.5,,,,,51.5,16.39,,,,,,,,,
2,77,Eucalyptus spp.,jun/18,83 meses,A,49,,,,,49,15.6,,,,,,,,,
2,78,Eucalyptus spp.,jun/18,83 meses,A,57,,,,,57,18.14,,,,,,,,,
2,79,Eucalyptus spp.,jun/18,83 meses,A,44.5,,,,,44.5,14.16,,,,,,,,,
2,80,Eucalyptus spp.,jun/18,83 meses,A,48,,,,,48,15.28,,,,,,,,,
2,81,Dalbergia nigra,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,82,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,83,Caesalpinia echinata,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,84,Cordia superba,jun/18,83 meses,A,26,,,,,26,8.28,,,,,,,,,
2,85,Paratecoma peroba,jun/18,83 meses,A,20.5,,,,,2.5,6.53,,,,,,,,,
2,86,Cecropia hololeuca,jun/18,83 meses,A,23,,,,,23,7.32,,,,,,,,,
2,87,Hymenaea courbaril,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,88,Talisia coriacea,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,89,Dalbergia nigra,jun/18,83 meses,A,18.5,,,,,18.5,5.89,,,,,,,,,
2,90,Byrsonima sericea,jun/18,83 meses,A,16.5,,,,,16.5,5.25,,,,,,,,,
2,91,Caesalpinia echinata,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,92,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,93,Dalbergia nigra,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,94,Cordia superba,jun/18,83 meses,A,32,26.5,20.5,,,79,10.19,8.44,6.53,,,,,,,
2,95,Myrocarpus frondosus,jun/18,83 meses,B,,,,,,,,,,,,,,,,
2,96,Cecropia hololeuca,jun/18,83 meses,A,29,,,,,29,9.23,,,,,,,,,
2,97,Handroanthus impetiginosus,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,98,Talisia coriacea,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,99,Caesalpinia echinata,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,100,Byrsonima sericea,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,101,Eucalyptus spp.,jun/18,83 meses,A,78,,,,,78,24.83,,,,,,,,,
2,102,Eucalyptus spp.,jun/18,83 meses,A,77,,,,,77,24.51,,,,,,,,,
2,103,Eucalyptus spp.,jun/18,83 meses,A,49.5,,,,,49.5,15.76,,,,,,,,,
2,104,Eucalyptus spp.,jun/18,83 meses,A,68.5,,,,,68.5,21.8,,,,,,,,,
2,105,Eucalyptus spp.,jun/18,83 meses,A,58,,,,,58,18.46,,,,,,,,,
2,106,Eucalyptus spp.,jun/18,83 meses,A,92,,,,,92,29.28,,,,,,,,,
2,107,Eucalyptus spp.,jun/18,83 meses,B,18.5,,,,,18.5,5.89,,,,,,,,,
2,108,Eucalyptus spp.,jun/18,83 meses,A,78.5,,,,,78.5,24.99,,,,,,,,,
2,109,Eucalyptus spp.,jun/18,83 meses,A,20.5,,,,,2.5,6.53,,,,,,,,,
2,110,Eucalyptus spp.,jun/18,83 meses,A,90.5,,,,,9.5,28.81,,,,,,,,,
2,111,Eucalyptus spp.,jun/18,83 meses,A,61.5,,,,,61.5,19.58,,,,,,,,,
2,112,Eucalyptus spp.,jun/18,83 meses,A,67,,,,,67,21.33,,,,,,,,,
2,113,Eucalyptus spp.,jun/18,83 meses,A,74,,,,,74,23.55,,,,,,,,,
2,114,Eucalyptus spp.,jun/18,83 meses,A,60,,,,,6,19.1,,,,,,,,,
2,115,Eucalyptus spp.,jun/18,83 meses,A,68,,,,,68,21.65,,,,,,,,,
2,116,Eucalyptus spp.,jun/18,83 meses,A,42.5,,,,,42.5,13.53,,,,,,,,,
2,117,Eucalyptus spp.,jun/18,83 meses,A,49,,,,,49,15.6,,,,,,,,,
2,118,Eucalyptus spp.,jun/18,83 meses,A,55.5,,,,,55.5,17.67,,,,,,,,,
2,119,Eucalyptus spp.,jun/18,83 meses,A,56,,,,,56,17.83,,,,,,,,,
2,120,Eucalyptus spp.,jun/18,83 meses,A,59.5,,,,,59.5,18.94,,,,,,,,,
2,121,Centrolobium microchaete,jun/18,83 meses,A,29.5,,,,,29.5,9.39,,,,,,,,,
2,122,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,123,Mimosa artemisiana,jun/18,83 meses,M,,,,,,,,,,,,,,,,
2,124,Cariniana legalis,jun/18,83 meses,A,16,,,,,16,5.09,,,,,,,,,
2,125,Enterolobium contortisiliquum,jun/18,83 meses,A,35.5,,,,,35.5,11.3,,,,,,,,,
2,126,Peltophorum dubium,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,127,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,128,Parkia pendula,jun/18,83 meses,A,,,,,,,,,,,,,,,,
2,129,Cariniana estrelensis,jun/18,83 meses,A,20,,,,,2,6.37,,,,,,,,,
2,130,Anadenanthera peregrina,jun/18,83 meses,A,41.5,,,,,41.5,13.21,,,,,,,,,
3,1,Dalbergia nigra,jun/18,83 meses,B,,,,,,,,,,,,,,,,
3,2,Himatanthus articulatus,jun/18,83 meses,A,,,,,,,,,,,,,,,,
3,3,Caesalpinia echinata,jun/18,83 meses,A,,,,,,,,,,,,,,,,
3,4,Cordia superba,jun/18,83 meses,M,,,,,,,,,,,,,,,,
3,5,Paratecoma peroba,jun/18,83 meses,A,18.5,,,,,18.5,5.89,,,,,,,,,
3,6,Cecropia hololeuca,jun/18,83 meses,A,,,,,,,,,,,,,,,,
3,7,Hymenaea courbaril,jun/18,83 meses,A,16.5,,,,,16.5,5.25,,,,,,,,,
3,8,Talisia coriacea,jun/18,83 meses,M,,,,,,,,,,,,,,,,
3,9,Dalbergia nigra,jun/18,83 meses,A,18,,,,,18,5.73,,,,,,,,,
3,10,Byrsonima sericea,jun/18,83 meses,A,,,,,,,,,,,,,,,,
3,11,Caesalpinia echinata,jun/18,83 meses,A,,,,,,,,,,,,,,,,
3,12,Himatanthus articulatus,jun/18,83 meses,A,,,,,,,,,,,,,,,,
3,13,Dalbergia nigra,jun/18,83 meses,A,31,,,,,31,9.87,,,,,,,,,
3,14,Cordia superba,jun/18,83 meses,A,,,,,,,,,,,,,,,,
3,15,Myrocarpus frondosus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
3,16,Cecropia hololeuca,jun/18,83 meses,A,48,,,,,48,15.28,,,,,,,,,
3,17,Handroanthus impetiginosus,jun/18,83 meses,A,17.5,,,,,17.5,5.57,,,,,,,,,
