plot,treeposition,nome cientifico,Inventário (data),Inventário (meses),status,cap1_cm,cap2_cm,cap3_cm,cap4_cm,cap5_cm,soma_cap,dap1_cm,dap2_cm,dap3_cm,dap4_cm,dap5_cm,htotal_m,OBS
1,1,Caesalpinia echinata,jun/18,83 meses,A,17.5,,,,,17.5,5.57,,,,,4.8,
1,2,Trema micrantha,jun/18,83 meses,M,,,,,,,,,,,,,
1,3,Cedrela fissilis,jun/18,83 meses,A,31.1,,,,,31.1,9.90,,,,,6,
1,4,Cecropia hololeuca,jun/18,83 meses,M,,,,,,,,,,,,,
1,5,Tabebuia heptaphylla,jun/18,83 meses,A,,,,,,,,,,,,2.5,
1,6,Eugenia uniflora,jun/18,83 meses,B,,,,,,,,,,,,0.8,
1,7,Paratecoma peroba,jun/18,83 meses,B,,,,,,,,,,,,2,
1,8,Himatanthus articulatus,jun/18,83 meses,A,,,,,,,,,,,,1.8,
1,9,Hymenaea courbaril,jun/18,83 meses,M,,,,,,,,,,,,,
1,10,Acnistus arborescens,jun/18,83 meses,M,,,,,,,,,,,,,
1,11,Zeyheria tuberculosa,jun/18,83 meses,A,24,,,,,24,7.64,,,,,6,
1,12,Schinus terenbitifolius,jun/18,83 meses,A,15.5,16.5,17.5,,,49.5,4.93,5.25,5.57,,,4,
1,13,Plathymenia foliolosa,jun/18,83 meses,A,39,51.5,,,,9.5,12.41,16.39,,,,8,
1,14,Spondias spp.,jun/18,83 meses,A,24.5,,,,,24.5,7.80,,,,,5,
1,15,Melanoxylon brauna,jun/18,83 meses,M,,,,,,,,,,,,0.4,
1,16,Byrsonima spp.,jun/18,83 meses,B,,,,,,,,,,,,,
1,17,Myrocarpus frondosus,jun/18,83 meses,A,,,,,,,,,,,,2.5,
1,18,Psidium sp.,jun/18,83 meses,B,,,,,,,,,,,,0.45,
1,19,Dalbergia nigra,jun/18,83 meses,A,18.5,25.5,,,,44,5.89,8.12,,,,6,
1,20,Senna multijuga,jun/18,83 meses,A,30,32.5,17,19,25,14.5,9.55,10.35,5.41,6.05,7.96,5.5,
1,21,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
1,22,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,NR
1,23,Eucalyptus spp.,jun/18,83 meses,A,37.5,27,,,,64.5,11.94,8.59,,,,8,
1,24,Eucalyptus spp.,jun/18,83 meses,A,31,,,,,31,9.87,,,,,7.5,
1,25,Eucalyptus spp.,jun/18,83 meses,A,25,26.5,,,,51.5,7.96,8.44,,,,8,
1,26,Eucalyptus spp.,jun/18,83 meses,A,23.5,40,20.5,,,84,7.48,12.73,6.53,,,9.5,
1,27,Eucalyptus spp.,jun/18,83 meses,A,31.5,26,,,,57.5,10.03,8.28,,,,9,
1,28,Eucalyptus spp.,jun/18,83 meses,A,32,27.5,,,,59.5,10.19,8.75,,,,8.5,
1,29,Eucalyptus spp.,jun/18,83 meses,A,32.5,,,,,32.5,10.35,,,,,8,
1,30,Eucalyptus spp.,jun/18,83 meses,A,37,25,,,,62,11.78,7.96,,,,8.5,
1,31,Eucalyptus spp.,jun/18,83 meses,A,37,,,,,37,11.78,,,,,8,
1,32,Eucalyptus spp.,jun/18,83 meses,A,36,27,23.5,,,86.5,11.46,8.59,7.48,,,7.5,
1,33,Eucalyptus spp.,jun/18,83 meses,A,16,,,,,16,5.09,,,,,4.5,
1,34,Eucalyptus spp.,jun/18,83 meses,A,30.5,,,,,3.5,9.71,,,,,5.5,
1,35,Eucalyptus spp.,jun/18,83 meses,B,,,,,,,,,,,,4,
1,36,Eucalyptus spp.,jun/18,83 meses,A,38,,,,,38,12.10,,,,,9,
1,37,Eucalyptus spp.,jun/18,83 meses,A,40,38.5,20.5,,,99,12.73,12.25,6.53,,,9.5,
1,38,Eucalyptus spp.,jun/18,83 meses,A,36.5,28,30,,,94.5,11.62,8.91,9.55,,,8.5,
1,39,Eucalyptus spp.,jun/18,83 meses,A,20.5,30,,,,5.5,6.53,9.55,,,,8.5,
1,40,Eucalyptus spp.,jun/18,83 meses,A,20.5,,,,,2.5,6.53,,,,,7.5,
1,41,Anadenanthera peregrina ,jun/18,83 meses,A,64.5,,,,,64.5,20.53,,,,,8,
1,42,Pterogyne nitens,jun/18,83 meses,A,,,,,,,,,,,,4,
1,43,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,3.5,
1,44,Newtonia spp.,jun/18,83 meses,A,28.5,28.5,19,,,76,9.07,9.07,6.05,,,6.5,
1,45,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,2.8,
1,46,Mimosa artemisiana,jun/18,83 meses,A,53,43,33.5,,,129.5,16.87,13.69,10.66,,,10.5,
1,47,Cariniana estrelensis,jun/18,83 meses,B,,,,,,,,,,,,0.7,REBROTA
1,48,Parkia pendula,jun/18,83 meses,A,,,,,,,,,,,,2.5,
1,49,Cariniana legalis,jun/18,83 meses,A,,,,,,,,,,,,3,
1,50,Peltophorum dubium ,jun/18,83 meses,A,23,21,20,,,64,7.32,6.68,6.37,,,6,
1,51,Anadenanthera peregrina ,jun/18,83 meses,M,,,,,,,,,,,,,
1,52,Pterogyne nitens,jun/18,83 meses,A,17.5,24,23.5,,,65,5.57,7.64,7.48,,,7,
1,53,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,3.5,
1,54,Newtonia spp.,jun/18,83 meses,M,,,,,,,,,,,,,
1,55,Pterocarpus rohrii,jun/18,83 meses,M,,,,,,,,,,,,,
1,56,Mimosa artemisiana,jun/18,83 meses,A,43.5,34.5,47,,,125,13.85,10.98,14.96,,,9,
1,57,Cariniana estrelensis,jun/18,83 meses,M,,,,,,,,,,,,,
1,58,Parkia pendula,jun/18,83 meses,M,,,,,,,,,,,,,
1,59,Cariniana legalis,jun/18,83 meses,M,,,,,,,,,,,,,
1,60,Peltophorum dubium ,jun/18,83 meses,A,29,,,,,29,9.23,,,,,7,
1,61,Eucalyptus spp.,jun/18,83 meses,A,25,16.5,,,,41.5,7.96,5.25,,,,7.5,
1,62,Eucalyptus spp.,jun/18,83 meses,A,32,26.5,,,,58.5,10.19,8.44,,,,8,
1,63,Eucalyptus spp.,jun/18,83 meses,A,30.5,31.5,16.5,,,78.5,9.71,10.03,5.25,,,8.5,
1,64,Eucalyptus spp.,jun/18,83 meses,B,15,,,,,15,4.77,,,,,5,
1,65,Eucalyptus spp.,jun/18,83 meses,A,33.5,,,,,33.5,10.66,,,,,8,
1,66,Eucalyptus spp.,jun/18,83 meses,A,25.5,36.5,28.5,30.5,,9.5,8.12,11.62,9.07,9.71,,8.5,
1,67,Eucalyptus spp.,jun/18,83 meses,A,36.5,34.5,,,,71,11.62,10.98,,,,7.5,
1,68,Eucalyptus spp.,jun/18,83 meses,A,24,,,,,24,7.64,,,,,8,
1,69,Eucalyptus spp.,jun/18,83 meses,A,21,29.5,,,,5.5,6.68,9.39,,,,8,
1,70,Eucalyptus spp.,jun/18,83 meses,A,32.5,,,,,32.5,10.35,,,,,8,
1,71,Eucalyptus spp.,jun/18,83 meses,A,25.5,,,,,25.5,8.12,,,,,7.5,
1,72,Eucalyptus spp.,jun/18,83 meses,A,33,38.5,,,,71.5,10.50,12.25,,,,8,
1,73,Eucalyptus spp.,jun/18,83 meses,A,38.5,,,,,38.5,12.25,,,,,7.5,
1,74,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
1,75,Eucalyptus spp.,jun/18,83 meses,A,15.5,37,25.5,,,78,4.93,11.78,8.12,,,7,
1,76,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
1,77,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
1,78,Eucalyptus spp.,jun/18,83 meses,A,40,15,,,,55,12.73,4.77,,,,8.5,
1,79,Eucalyptus spp.,jun/18,83 meses,A,43,19,,,,62,13.69,6.05,,,,8.5,
1,80,Eucalyptus spp.,jun/18,83 meses,A,34.5,,,,,34.5,10.98,,,,,8,
1,81,Caesalpinia echinata,jun/18,83 meses,A,18,18,,,,36,5.73,5.73,,,,5,C
1,82,Trema micrantha,jun/18,83 meses,M,,,,,,,,,,,,,
1,83,Cedrela fissilis,jun/18,83 meses,M,,,,,,,,,,,,,
1,84,Cecropia hololeuca,jun/18,83 meses,M,,,,,,,,,,,,,
1,85,Tabebuia heptaphylla,jun/18,83 meses,A,,,,,,,,,,,,3.8,
1,86,Eugenia uniflora,jun/18,83 meses,M,,,,,,,,,,,,,
1,87,Paratecoma peroba,jun/18,83 meses,M,,,,,,,,,,,,,
1,88,Himatanthus articulatus,jun/18,83 meses,A,,,,,,,,,,,,3.8,C
1,89,Hymenaea courbaril,jun/18,83 meses,B,,,,,,,,,,,,2,
1,90,Acnistus arborescens,jun/18,83 meses,M,,,,,,,,,,,,,
1,91,Zeyheria tuberculosa,jun/18,83 meses,A,26,,,,,26,8.28,,,,,6.5,
1,92,Schinus terenbitifolius,jun/18,83 meses,A,18,,,,,18,5.73,,,,,4,C
1,93,Plathymenia foliolosa,jun/18,83 meses,A,54,,,,,54,17.19,,,,,7,C
1,94,Spondias spp.,jun/18,83 meses,A,26.5,21,,,,47.5,8.44,6.68,,,,6,
1,95,Melanoxylon brauna,jun/18,83 meses,M,,,,,,,,,,,,,
1,96,Byrsonima spp.,jun/18,83 meses,B,,,,,,,,,,,,0.8,
1,97,Myrocarpus frondosus,jun/18,83 meses,A,,,,,,,,,,,,3.5,
1,98,Psidium sp.,jun/18,83 meses,B,,,,,,,,,,,,0.6,
1,99,Dalbergia nigra,jun/18,83 meses,A,25.5,24.5,,,,5,8.12,7.80,,,,6.5,C
1,100,Senna multijuga,jun/18,83 meses,A,28,16.5,16.5,,,61,8.91,5.25,5.25,,,5.5,C
1,101,Eucalyptus spp.,jun/18,83 meses,A,19,,,,,19,6.05,,,,,6.5,
1,102,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,
1,103,Eucalyptus spp.,jun/18,83 meses,A,31.5,32.5,29,,,93,10.03,10.35,9.23,,,9,
1,104,Eucalyptus spp.,jun/18,83 meses,A,36.5,37,,,,73.5,11.62,11.78,,,,8.5,
1,105,Eucalyptus spp.,jun/18,83 meses,A,16.5,21.5,,,,38,5.25,6.84,,,,6.5,
1,106,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,
1,107,Eucalyptus spp.,jun/18,83 meses,A,51,,,,,51,16.23,,,,,10,
1,108,Eucalyptus spp.,jun/18,83 meses,A,40.5,,,,,4.5,12.89,,,,,8,
1,109,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,
1,110,Eucalyptus spp.,jun/18,83 meses,A,17.5,,,,,17.5,5.57,,,,,7.5,
1,111,Eucalyptus spp.,jun/18,83 meses,A,36,17.5,,,,53.5,11.46,5.57,,,,8,
1,112,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,
1,113,Eucalyptus spp.,jun/18,83 meses,A,33,29,22.5,,,84.5,10.50,9.23,7.16,,,9,
1,114,Eucalyptus spp.,jun/18,83 meses,A,35.5,18,16,37,,69.5,11.30,5.73,5.09,11.78,,9.5,
1,115,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,
1,116,Eucalyptus spp.,jun/18,83 meses,A,44.5,20.5,15.5,,,8.5,14.16,6.53,4.93,,,9,
1,117,Eucalyptus spp.,jun/18,83 meses,A,46.5,21.5,,,,68,14.80,6.84,,,,9,
1,118,Eucalyptus spp.,jun/18,83 meses,A,26.5,25,33.5,,,85,8.44,7.96,10.66,,,8,
1,119,Eucalyptus spp.,jun/18,83 meses,A,38,36.5,,,,74.5,12.10,11.62,,,,7,
1,120,Eucalyptus spp.,jun/18,83 meses,A,23,,,,,23,7.32,,,,,7,
2,1,Caesalpinia echinata,jun/18,83 meses,A,,,,,,,,,,,,3.5,
2,2,Trema micrantha,jun/18,83 meses,A,32.5,,,,,32.5,10.35,,,,,7,C
2,3,Cedrela fissilis,jun/18,83 meses,A,,,,,,,,,,,,0.7,R
2,4,Cecropia hololeuca,jun/18,83 meses,M,,,,,,,,,,,,,
2,5,Tabebuia heptaphylla,jun/18,83 meses,M,,,,,,,,,,,,,
2,6,Eugenia uniflora,jun/18,83 meses,A,,,,,,,,,,,,1.8,
2,7,Paratecoma peroba,jun/18,83 meses,M,,,,,,,,,,,,,
2,8,Himatanthus articulatus,jun/18,83 meses,A,,,,,,,,,,,,4,
2,9,Hymenaea courbaril,jun/18,83 meses,B,,,,,,,,,,,,0.7,
2,10,Acnistus arborescens,jun/18,83 meses,M,,,,,,,,,,,,,
2,11,Zeyheria tuberculosa,jun/18,83 meses,M,,,,,,,,,,,,,
2,12,Schinus terenbitifolius,jun/18,83 meses,A,19.5,,,,,19.5,6.21,,,,,5.5,C
2,13,Plathymenia foliolosa,jun/18,83 meses,M,,,,,,,,,,,,,
2,14,Spondias spp.,jun/18,83 meses,M,,,,,,,,,,,,,
2,15,Melanoxylon brauna,jun/18,83 meses,M,,,,,,,,,,,,,
2,16,Byrsonima spp.,jun/18,83 meses,A,,,,,,,,,,,,3,
2,17,Myrocarpus frondosus,jun/18,83 meses,A,,,,,,,,,,,,2.5,
2,18,Psidium sp.,jun/18,83 meses,M,,,,,,,,,,,,,
2,19,Dalbergia nigra,jun/18,83 meses,M,,,,,,,,,,,,,
2,20,Senna multijuga,jun/18,83 meses,A,26,23.5,23,29,19.5,92,8.28,7.48,7.32,9.23,6.21,7.5,C
2,21,Inga edulis,jun/18,83 meses,A,31,23.5,19,15,,73.5,9.87,7.48,6.05,4.77,,5.5,C
2,22,Joannesia princeps,jun/18,83 meses,A,33,27.5,,,,6.5,10.50,8.75,,,,7,
2,23,Cupania sp.,jun/18,83 meses,M,,,,,,,,,,,,,
2,24,Tapirira guianensis,jun/18,83 meses,A,,,,,,,,,,,,3.5,
2,25,Aegiphila sellowiana,jun/18,83 meses,A,18,,,,,18,5.73,,,,,3.5,C
2,26,Inga laurina,jun/18,83 meses,A,22.5,18,21.5,24,19.5,81.5,7.16,5.73,6.84,7.64,6.21,5,C
2,27,Enterolobium contortisiliquum,jun/18,83 meses,A,36,33,28.5,34.5,,97.5,11.46,10.50,9.07,10.98,,6.5,C
2,28,Senna macranthera,jun/18,83 meses,A,26,38.5,,,,64.5,8.28,12.25,,,,7.5,
2,29,Citharexylum myrianthum,jun/18,83 meses,M,,,,,,,,,,,,,
2,30,Sparattosperma leucanthum,jun/18,83 meses,A,42.5,,,,,42.5,13.53,,,,,9.5,
2,31,Inga edulis,jun/18,83 meses,A,21.5,29.5,24.5,27,19,94.5,6.84,9.39,7.80,8.59,6.05,7.5,
2,32,Joannesia princeps,jun/18,83 meses,A,46,38,31,,,115,14.64,12.10,9.87,,,8,
2,33,Cupania sp.,jun/18,83 meses,A,17,,,,,17,5.41,,,,,6,
2,34,Tapirira guianensis,jun/18,83 meses,A,23,22,23.5,,,68.5,7.32,7.00,7.48,,,7,C
2,35,Aegiphila sellowiana,jun/18,83 meses,M,,,,,,,,,,,,,
2,36,Inga laurina,jun/18,83 meses,A,21,21.5,20,21,16.5,79,6.68,6.84,6.37,6.68,5.25,5.2,
2,37,Enterolobium contortisiliquum,jun/18,83 meses,A,27.5,35,,,,62.5,8.75,11.14,,,,5.5,
2,38,Senna macranthera,jun/18,83 meses,M,,,,,,,,,,,,,
2,39,Citharexylum myrianthum,jun/18,83 meses,M,,,,,,,,,,,,,
2,40,Sparattosperma leucanthum,jun/18,83 meses,M,,,,,,,,,,,,,
2,41,Anadenanthera peregrina ,jun/18,83 meses,A,36,32,17,,,85,11.46,10.19,5.41,,,9,
2,42,Pterogyne nitens,jun/18,83 meses,A,16,,,,,16,5.09,,,,,4.5,
2,43,Trema micrantha,jun/18,83 meses,M,,,,,,,,,,,,,
2,44,Newtonia spp.,jun/18,83 meses,M,,,,,,,,,,,,,
2,45,Pterocarpus rohrii,jun/18,83 meses,M,,,,,,,,,,,,,
2,46,Mimosa artemisiana,jun/18,83 meses,A,54,75,38,,,167,17.19,23.87,12.10,,,10,C
2,47,Cariniana estrelensis,jun/18,83 meses,M,,,,,,,,,,,,,
2,48,Parkia pendula,jun/18,83 meses,M,,,,,,,,,,,,,
2,49,Jacaratia spinosa,jun/18,83 meses,A,22,19,,,,41,7.00,6.05,,,,5,C
2,50,Peltophorum dubium ,jun/18,83 meses,A,19.5,,,,,19.5,6.21,,,,,8,
2,51,Anadenanthera peregrina ,jun/18,83 meses,A,45.5,49.5,,,,95,14.48,15.76,,,,9,
2,52,Pterogyne nitens,jun/18,83 meses,A,16,,,,,16,5.09,,,,,5.5,
2,53,Lecythis pisonis,jun/18,83 meses,B,,,,,,,,,,,,1,
2,54,Newtonia spp.,jun/18,83 meses,A,20.5,15,,,,35.5,6.53,4.77,,,,6,C
2,55,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,6,
2,56,Mimosa artemisiana,jun/18,83 meses,A,34.5,33,32,30.5,26,125.5,10.98,10.50,10.19,9.71,8.28,8,C
2,57,Cariniana estrelensis,jun/18,83 meses,M,,,,,,,,,,,,,
2,58,Parkia pendula,jun/18,83 meses,M,,,,,,,,,,,,,
2,59,Cariniana legalis,jun/18,83 meses,A,19.5,,,,,19.5,6.21,,,,,6,
2,60,Peltophorum dubium ,jun/18,83 meses,A,37.5,,,,,37.5,11.94,,,,,9,
2,61,Inga edulis,jun/18,83 meses,A,18.5,15.5,,,,34,5.89,4.93,,,,5.5,
2,62,Joannesia princeps,jun/18,83 meses,A,41.5,,,,,41.5,13.21,,,,,7,
2,63,Cupania sp.,jun/18,83 meses,A,17,,,,,17,5.41,,,,,5.5,
2,64,Tapirira guianensis,jun/18,83 meses,A,41.5,,,,,41.5,13.21,,,,,6.5,
2,65,Aegiphila sellowiana,jun/18,83 meses,M,,,,,,,,,,,,,
2,66,Inga laurina,jun/18,83 meses,A,20.5,,,,,2.5,6.53,,,,,5,C
2,67,Enterolobium contortisiliquum,jun/18,83 meses,A,24.5,21,24.5,22,,7,7.80,6.68,7.80,7.00,,4,
2,68,Senna macranthera,jun/18,83 meses,A,28,32,,,,6,8.91,10.19,,,,6,
2,69,Citharexylum myrianthum,jun/18,83 meses,M,,,,,,,,,,,,,
2,70,Sparattosperma leucanthum,jun/18,83 meses,A,37,25.5,36.5,15.5,15,114,11.78,8.12,11.62,4.93,4.77,8,
2,71,Inga edulis,jun/18,83 meses,A,24,19,24.5,,,67.5,7.64,6.05,7.80,,,5,
2,72,Joannesia princeps,jun/18,83 meses,A,43,41.5,,,,84.5,13.69,13.21,,,,7,
2,73,Cupania sp.,jun/18,83 meses,A,,,,,,,,,,,,4.5,
2,74,Tapirira guianensis,jun/18,83 meses,M,,,,,,,,,,,,,
2,75,Aegiphila sellowiana,jun/18,83 meses,M,,,,,,,,,,,,,
2,76,Inga laurina,jun/18,83 meses,A,19,22.5,,,,41.5,6.05,7.16,,,,4.5,C
2,77,Enterolobium contortisiliquum,jun/18,83 meses,A,18.5,20.5,26.5,21,,65.5,5.89,6.53,8.44,6.68,,4.5,
2,78,Senna macranthera,jun/18,83 meses,M,,,,,,,,,,,,,
2,79,Citharexylum myrianthum,jun/18,83 meses,A,28.5,27.5,,,,56,9.07,8.75,,,,8,
2,80,Sparattosperma leucanthum,jun/18,83 meses,A,15,37.5,,,,52.5,4.77,11.94,,,,8,
2,81,Caesalpinia echinata,jun/18,83 meses,A,16.5,,,,,16.5,5.25,,,,,5.5,C
2,82,Trema micrantha,jun/18,83 meses,A,26,22.5,29,,,77.5,8.28,7.16,9.23,,,6.5,
2,83,Cedrela fissilis,jun/18,83 meses,B,,,,,,,,,,,,3,R
2,84,Cecropia hololeuca,jun/18,83 meses,M,,,,,,,,,,,,,
2,85,Tabebuia heptaphylla,jun/18,83 meses,A,,,,,,,,,,,,3.5,
2,86,Eugenia uniflora,jun/18,83 meses,B,,,,,,,,,,,,1.3,
2,87,Paratecoma peroba,jun/18,83 meses,M,,,,,,,,,,,,,
2,88,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,
2,89,Hymenaea courbaril,jun/18,83 meses,A,,,,,,,,,,,,5,
2,90,Inga edulis,jun/18,83 meses,A,,,,,,,,,,,,4.5,
2,91,Zeyheria tuberculosa,jun/18,83 meses,A,,,,,,,,,,,,4.5,
2,92,Schinus terenbitifolius,jun/18,83 meses,A,15,,,,,15,4.77,,,,,5.5,
2,93,Plathymenia foliolosa,jun/18,83 meses,A,,,,,,,,,,,,7,
2,94,Spondias spp.,jun/18,83 meses,A,28,,,,,28,8.91,,,,,7,
2,95,Melanoxylon brauna,jun/18,83 meses,M,,,,,,,,,,,,,
2,96,Byrsonima spp.,jun/18,83 meses,A,,,,,,,,,,,,3,
2,97,Myrocarpus frondosus,jun/18,83 meses,A,16,,,,,16,5.09,,,,,3.5,
2,98,Psidium sp.,jun/18,83 meses,M,,,,,,,,,,,,,
2,99,Cupania sp.,jun/18,83 meses,B,,,,,,,,,,,,2.2,
2,100,Senna multijuga,jun/18,83 meses,A,24,,,,,24,7.64,,,,,6.5,
2,101,Inga edulis,jun/18,83 meses,A,20,21.5,16,,,57.5,6.37,6.84,5.09,,,6,
2,102,Joannesia princeps,jun/18,83 meses,A,37,43,26.5,,,16.5,11.78,13.69,8.44,,,7.5,
2,103,Cupania sp.,jun/18,83 meses,A,18.5,,,,,18.5,5.89,,,,,4.5,
2,104,Tapirira guianensis,jun/18,83 meses,A,,,,,,,,,,,,4,
2,105,Aegiphila sellowiana,jun/18,83 meses,M,,,,,,,,,,,,,
2,106,Inga laurina,jun/18,83 meses,A,,,,,,,,,,,,5,
2,107,Enterolobium contortisiliquum,jun/18,83 meses,A,32.5,27,41.5,42.5,24.5,125.5,10.35,8.59,13.21,13.53,7.80,6.5,C
2,108,Senna macranthera,jun/18,83 meses,A,37.5,45,,,,82.5,11.94,14.32,,,,6,C
2,109,Citharexylum myrianthum,jun/18,83 meses,A,21,,,,,21,6.68,,,,,5.5,
2,110,Sparattosperma leucanthum,jun/18,83 meses,A,22.5,25,17.5,,,65,7.16,7.96,5.57,,,5.5,
2,111,Inga edulis,jun/18,83 meses,A,,,,,,,,,,,,4,
2,112,Joannesia princeps,jun/18,83 meses,A,23,24,30,28.5,29,16,7.32,7.64,9.55,9.07,9.23,5.5,C
2,113,Cupania sp.,jun/18,83 meses,A,21.5,,,,,21.5,6.84,,,,,4.5,
2,114,Tapirira guianensis,jun/18,83 meses,A,25.5,19,16.5,,,61,8.12,6.05,5.25,,,5,C
2,115,Aegiphila sellowiana,jun/18,83 meses,M,,,,,,,,,,,,,
2,116,Inga laurina,jun/18,83 meses,A,26.5,23,27,19.5,15,91.5,8.44,7.32,8.59,6.21,4.77,5.5,
2,117,Enterolobium contortisiliquum,jun/18,83 meses,B,,,,,,,,,,,,2.5,
2,118,Senna macranthera,jun/18,83 meses,A,27,34.5,30,21,,91.5,8.59,10.98,9.55,6.68,,7.5,C
2,119,Citharexylum myrianthum,jun/18,83 meses,B,,,,,,,,,,,,0.2,R
2,120,Sparattosperma leucanthum,jun/18,83 meses,A,29,20.5,,,,49.5,9.23,6.53,,,,7.5,
3,1,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,2,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,3,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,4,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,5,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,6,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,7,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,8,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,9,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,10,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,11,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,12,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,13,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,14,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,
3,15,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,16,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,17,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,18,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,19,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,20,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,21,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,22,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,23,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,24,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,25,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,26,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,27,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,28,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,29,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,30,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,31,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,32,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,33,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,34,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,35,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,36,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,37,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,38,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,39,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,40,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,41,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,42,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,43,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,44,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,45,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,46,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,47,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,48,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,49,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,50,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,51,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,52,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,53,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,54,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,55,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,56,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,57,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
3,58,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
